          x[m]          y[m]          z[m]      SEL[dBA]    LAmax[dBA]   EPNL[EPNdB]  PNLTM[TPNdB]
     104562.00     484845.00          0.00          0.00         19.19          0.00         21.82
     104562.00     484970.00          0.00          0.00         18.93          0.00         21.45
     104562.00     485095.00          0.00          0.00         18.67          0.00         21.08
     104562.00     485220.00          0.00          0.00         18.41          0.00         20.72
     104562.00     485345.00          0.00          0.00         18.15          0.00         20.35
     104562.00     485470.00          0.00          0.00         17.90          0.00         20.00
     104687.00     475470.00          0.00         11.91         32.93          9.47         40.65
     104687.00     475595.00          0.00         12.26         33.20          9.99         40.99
     104687.00     475720.00          0.00         12.60         33.46         10.52         41.30
     104687.00     475845.00          0.00         12.94         33.70         11.07         41.61
     104687.00     475970.00          0.00         13.28         33.94         11.64         41.90
     104687.00     476095.00          0.00         13.60         34.16         12.23         42.17
     104687.00     476220.00          0.00         13.90         34.36         12.77         42.42
     104687.00     476345.00          0.00         14.14         34.55         13.07         42.66
     104687.00     476470.00          0.00         14.37         34.72         13.36         42.87
     104687.00     476595.00          0.00         14.59         34.88         13.63         43.07
     104687.00     476720.00          0.00         14.78         35.02         13.89         43.23
     104687.00     476845.00          0.00         14.95         35.13         14.14         43.38
     104687.00     476970.00          0.00         15.01         35.23         14.35         43.50
     104687.00     477095.00          0.00         14.97         35.30         14.54         43.59
     104687.00     477220.00          0.00         14.87         35.36         14.73         43.66
     104687.00     477345.00          0.00         14.70         35.39         14.92         43.69
     104687.00     477470.00          0.00         14.46         35.40         15.12         43.70
     104687.00     477595.00          0.00         14.18         35.38         15.26         43.69
     104687.00     477720.00          0.00         13.88         35.35         15.36         43.64
     104687.00     477845.00          0.00         13.45         35.29         15.47         43.57
     104687.00     477970.00          0.00         12.60         35.21         15.80         43.48
     104687.00     478095.00          0.00         11.74         35.11         14.28         43.35
     104687.00     478220.00          0.00         11.84         34.99         14.64         43.20
     104687.00     478345.00          0.00         12.52         34.85         15.26         43.03
     104687.00     478470.00          0.00         12.96         34.69         14.78         42.83
     104687.00     478595.00          0.00         13.12         34.52         14.45         42.61
     104687.00     478720.00          0.00         13.16         34.32         14.12         42.38
     104687.00     478845.00          0.00         13.24         34.11         13.73         42.12
     104687.00     478970.00          0.00         13.26         33.89         13.33         41.84
     104687.00     479095.00          0.00         13.22         33.65         12.95         41.55
     104687.00     479220.00          0.00         13.14         33.41         12.57         41.24
     104687.00     479345.00          0.00         13.01         33.15         12.20         40.92
     104687.00     479470.00          0.00         12.74         32.88         11.82         40.59
     104687.00     479595.00          0.00         12.44         32.60         11.43         40.24
